,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank,department,thousand_nights_in_hotels,thousand_nights_in_campsites,population,density,rate_60_and_over,median_income,attractiveness_rank,solar_exposure,precipitation,temperature
22070,Guingamp,137.0,221.0,6.0,38.0,140.0,34.0,164.0,Côtes-d'Armor,1168.0,2057.0,7022.0,2059.2,26.9,17360.0,422,,,
67180,Haguenau,19.0,112.0,9.0,8.0,8.0,49.0,40.0,Bas-Rhin,4437.0,509.0,34789.0,190.5,24.5,21720.0,550,,,
63178,Issoire,212.0,54.0,4.0,138.0,249.0,75.0,160.0,Puy-de-Dôme,1910.0,1045.0,15214.0,772.7,29.5,20690.0,583,,,
36088,Issoudun,129.0,,63.0,,152.0,,304.0,Indre,419.0,125.0,11690.0,319.4,36.0,19850.0,725,1840.7,737.1,11.8
13047,Istres,19.0,176.0,5.0,5.0,20.0,,49.0,Bouches-du-Rhône,6724.0,1689.0,43411.0,381.7,25.200000000000003,21720.0,115,,,
17197,Jonzac,57.0,,3.0,,211.0,,279.0,Charente-Maritime,2321.0,7395.0,3457.0,264.1,41.2,19070.0,2500,,,
36046,La Châtre,192.0,175.0,23.0,,358.0,,312.0,Indre,419.0,125.0,4040.0,666.7,45.6,19250.0,4856,1840.7,737.1,11.8
72154,La Flèche,163.0,298.0,19.0,69.0,377.0,,291.0,Sarthe,894.0,322.0,14902.0,200.8,31.5,20400.0,1660,1772.0,687.5,
85191,La Roche-sur-Yon,104.0,143.0,16.0,126.0,71.0,,86.0,Vendée,1546.0,9046.0,54766.0,625.8,26.8,21050.0,39,1852.0,880.7,12.1
17300,La Rochelle,112.0,133.0,4.0,92.0,21.0,,26.0,Charente-Maritime,2321.0,7395.0,76114.0,2677.2,29.9,20690.0,3,2105.5,767.0,13.4
38509,La Tour-du-Pin,188.0,210.0,24.0,151.0,7.0,,234.0,Isère,2467.0,998.0,8137.0,1705.9,25.5,18320.0,2077,,,
33227,Langon,118.0,110.0,19.0,125.0,105.0,,205.0,Gironde,4665.0,5280.0,7374.0,537.9,33.1,18910.0,1474,,,
52269,Langres,155.0,91.0,13.0,33.0,108.0,,120.0,Haute-Marne,301.0,214.0,7699.0,344.8,29.6,19510.0,1130,1702.8,895.5,9.7
22113,Lannion,106.0,77.0,6.0,47.0,227.0,,105.0,Côtes-d'Armor,1168.0,2057.0,20040.0,456.4,29.6,21940.0,11,,945.0,11.5
02408,Laon,33.0,110.0,5.0,23.0,138.0,,8.0,Aisne,523.0,544.0,24710.0,588.3,25.2,17140.0,646,,,
