,Communes,Classement
747,AUTRECOURT ET POURRON,17475
748,MONTELS,20791
749,AUTRY,34694
750,MOULIS,18257
751,BARBY,24200
752,PRADIERES,6515
753,BAR LES BUZANCY,33495
754,LES PUJOLS,10187
755,BAZEILLES,5357
756,QUERIGUT,32537
757,BAZEILLES,5357
758,ROUMENGOUX,28210
759,BERGNICOURT,29206
760,ST AMADOU,14116
761,BOSSUS LES RUMIGNY,31966
762,ST AMANS,20491
763,BOUCONVILLE,34787
764,ST FELIX DE RIEUTORD,6317
765,BOURG FIDELE,17065
766,STE FOI,22942
767,BULSON,15412
768,LA NEUVILLE BOSMONT,33412
769,ST GIRONS,4029
770,CHALANDRY ELAIRE,6222
771,NEUVILLE ST AMAND,2433
772,ST LIZIER,5770
773,CHAMPIGNEUL SUR VENCE,9585
774,NEUVILLE SUR MARGIVAL,15163
775,FRENELLES EN VEXIN,16469
776,ST MARTIN DE CARALP,12435
777,CHAMPLIN,30843
778,LE NOUVION EN THIERACHE,8418
779,BOIS JEROME ST OUEN,3745
780,SALSEIN,29815
781,LE CHATELET SUR SORMONNE,28730
782,NOYALES,23590
783,BOIS NORMAND PRES LYRE,30501
784,SAURAT,25110
785,CHAUMONT PORCIEN,33213
786,OEUILLY,25735
787,BONCOURT,23498
788,SEGURA,12368
789,CHEMERY CHEHERY,18802
790,ORGEVAL,12649
791,LA BONNEVILLE SUR ITON,4188
792,SENTEIN,34829
793,CHOOZ,21190
794,ORIGNY EN THIERACHE,9846
795,THENOUVILLE,20876
796,SENTENAC D OUST,33485
797,CLAVY WARBY,24789
798,PAISSY,29432
799,BOSROUMOIS,4222
800,SERRES SUR ARGET,12592
801,CONDE LES HERPY,29751
802,PAPLEUX,24884
803,LES BOTTEREAUX,30914
804,SIEURAS,26599
805,CONTREUVE,32775
806,PERNANT,12910
807,LE BOULAY MORIN,6117
808,AULOS SINSAT,25397
809,DEVILLE,8098
810,PIERREMANDE,14932
811,BOUQUETOT,14059
812,SOULA,14076
813,DOUX,13772
814,PIERREPONT,23848
815,BOURG ACHARD,8208
816,TABRE,11930
817,FAISSAULT,30535
818,PITHON,12386
819,BOURNAINVILLE FAVEROLLES,9529
820,TARASCON SUR ARIEGE,6553
821,FLIGNY,30683
822,PLOYART ET VAURSEINE,26663
823,BOURTH,11411
824,TAURIGNAN VIEUX,12557
825,FLIZE,12009
826,POMMIERS,4495
827,BREUX SUR AVRE,23401
828,TEILHET,26350
829,FRANCHEVAL,19529
830,PREMONTRE,19792
831,BRIONNE,5025
832,TIGNAC,29996
833,LE FRETY,33021
834,PRESLES ET THIERNY,12474
835,CAILLOUET ORGEVILLE,23358
836,TOURTOUSE,25203
837,FUMAY,3299
838,PROIX,14517
839,CAUGE,7014
840,TROYE D ARIEGE,24603
841,GIVRON,32972
842,QUIERZY,14768
843,CHAMBLAC,21749
844,USSAT,16243
845,GIVRY,26699
846,REMAUCOURT,11308
847,CHAMBLAC,21749
848,VEBRE,30977
849,GRANDPRE,28546
850,REMIGNY,14522
851,CHERONVILLIERS,17375
852,VAL DE SOS,30635
853,GRANDPRE,28546
854,RENNEVAL,32757
855,MARBOIS,24039
856,VILLENEUVE,30511
857,GUIGNICOURT SUR VENCE,20565
858,RIBEMONT,17427
859,CRASVILLE,13360
860,VILLENEUVE D OLMES,7007
861,GUINCOURT,33205
862,SAINS RICHAUMONT,20120
863,CLEF VALLEE D EURE,7205
864,ARRENTIERES,11295
865,HAGNICOURT,32101
866,ST CLEMENT,33008
867,CLEF VALLEE D EURE,7205
868,AUXON,20425
869,HAM SUR MEUSE,23774
870,ST EUGENE,20147
871,CLEF VALLEE D EURE,7205
872,VAL D AUZON,31626
873,HARCY,16330
874,ST PIERRE LES FRANQUEVILLE,31293
875,CUVERVILLE,18510
876,AVIREY LINGEY,33726
877,HARGNIES,26759
878,ST QUENTIN,132
879,MESNILS SUR ITON,10107
880,BALNOT SUR LAIGNES,30870
881,HAUVINE,31384
882,SERINGES ET NESLES,25976
883,MESNILS SUR ITON,10107
884,BARBUISE,16800
885,HERBEUVAL,30509
886,SERMOISE,10424
887,DURANVILLE,9484
888,BERNON,33628
889,HERPY L ARLESIENNE,30081
890,SERY LES MEZIERES,20410
891,ECAUVILLE,25616
892,BERTIGNOLLES,33316
893,HOUDILCOURT,29761
894,SISSY,15203
895,VEXIN SUR EPTE,9540
896,BERULLE,34047
897,JONVAL,33677
898,SOISSONS,590
899,VEXIN SUR EPTE,9540
900,BESSY,32159
901,LAIFOUR,7214
902,SOMMELANS,27146
903,ETREPAGNY,7678
904,BEUREY,22444
905,LANDRICHAMPS,25002
906,SOMMETTE EAUCOURT,10893
907,FEUGUEROLLES,26292
908,BOULAGES,31421
909,LEFFINCOURT,32682
910,SONS ET RONCHERES,32008
911,FLEURY LA FORET,28411
912,BOUY LUXEMBOURG,17788
913,LEPRON LES VALLEES,31938
914,SOUPIR,28058
915,FLIPOU,7960
916,BRAGELOGNE BEAUVOIR,34298
917,LIART,26809
918,LE SOURD,26075
919,FRESNE CAUVERVILLE,18832
920,CHAMOY,26991
921,LIRY,33853
922,SURFONTAINE,27866
923,GIVERVILLE,21986
924,CHANNES,34557
925,LUCQUY,17748
926,TERGNIER,1959
927,GLISOLLES,13016
928,CHAOURCE,14457
929,MARBY,33103
930,TERGNIER,1959
931,GOURNAY LE GUERIN,29516
